        Pcore(1)        Pcore(2)        Pcore(3)        Pcore(4)        Pcore(5)        Pcore(6)        Pcore(7)        Pcore(8)
     1.4942529     2.9885057     4.4827586     5.9770115     5.9770115     4.4827586     2.9885057     1.4942529
        Vcore(1)        Vcore(2)        Vcore(3)        Vcore(4)        Vcore(5)        Vcore(6)        Vcore(7)        Vcore(8)
             0             0             0             0             0             0             0             0
      11.18515     11.259863     11.334576     11.409288     11.409288     11.334576     11.259863      11.18515
     11.228651     11.303363     11.378076     11.452789     11.452789     11.378076     11.303363     11.228651
     11.271854     11.346567      11.42128     11.495992     11.495992      11.42128     11.346567     11.271854
     11.314763     11.389476     11.464188     11.538901     11.538901     11.464188     11.389476     11.314763
     11.357379     11.432092     11.506804     11.581517     11.581517     11.506804     11.432092     11.357379
     11.399704     11.474417      11.54913     11.623842     11.623842      11.54913     11.474417     11.399704
     11.441741     11.516453     11.591166     11.665879     11.665879     11.591166     11.516453     11.441741
      11.48349     11.558203     11.632916     11.707628     11.707628     11.632916     11.558203      11.48349
     11.524955     11.599668      11.67438     11.749093     11.749093      11.67438     11.599668     11.524955
     11.566137      11.64085     11.715562     11.790275     11.790275     11.715562      11.64085     11.566137
     11.607038      11.68175     11.756463     11.831176     11.831176     11.756463      11.68175     11.607038
     11.647659     11.722372     11.797085     11.871797     11.871797     11.797085     11.722372     11.647659
     11.688004     11.762717     11.837429     11.912142     11.912142     11.837429     11.762717     11.688004
     11.728073     11.802786     11.877499     11.952211     11.952211     11.877499     11.802786     11.728073
     11.767869     11.842582     11.917295     11.992007     11.992007     11.917295     11.842582     11.767869
     11.807394     11.882106     11.956819     12.031532     12.031532     11.956819     11.882106     11.807394
     11.846648     11.921361     11.996074     12.070786     12.070786     11.996074     11.921361     11.846648
     11.885635     11.960348      12.03506     12.109773     12.109773      12.03506     11.960348     11.885635
     11.924356     11.999069     12.073781     12.148494     12.148494     12.073781     11.999069     11.924356
     11.962812     12.037525     12.112238      12.18695      12.18695     12.112238     12.037525     11.962812
     12.001007     12.075719     12.150432     12.225145     12.225145     12.150432     12.075719     12.001007
      12.03894     12.113653     12.188366     12.263078     12.263078     12.188366     12.113653      12.03894
     12.076615     12.151328      12.22604     12.300753     12.300753      12.22604     12.151328     12.076615
     12.114033     12.188745     12.263458     12.338171     12.338171     12.263458     12.188745     12.114033
     12.151195     12.225908      12.30062     12.375333     12.375333      12.30062     12.225908     12.151195
     12.188104     12.262817     12.337529     12.412242     12.412242     12.337529     12.262817     12.188104
     12.224761     12.299474     12.374186     12.448899     12.448899     12.374186     12.299474     12.224761
     12.261168      12.33588     12.410593     12.485306     12.485306     12.410593      12.33588     12.261168
     12.297326     12.372039     12.446751     12.521464     12.521464     12.446751     12.372039     12.297326
     12.333238     12.407951     12.482663     12.557376     12.557376     12.482663     12.407951     12.333238
     12.368905     12.443617      12.51833     12.593043     12.593043      12.51833     12.443617     12.368905
     12.404328     12.479041     12.553753     12.628466     12.628466     12.553753     12.479041     12.404328
      12.43951     12.514222     12.588935     12.663647     12.663647     12.588935     12.514222      12.43951
     12.474451     12.549164     12.623876     12.698589     12.698589     12.623876     12.549164     12.474451
     12.509154     12.583867      12.65858     12.733292     12.733292      12.65858     12.583867     12.509154
     12.543621     12.618333     12.693046     12.767759     12.767759     12.693046     12.618333     12.543621
     12.577852     12.652564     12.727277      12.80199      12.80199     12.727277     12.652564     12.577852
     12.611849     12.686562     12.761275     12.835987     12.835987     12.761275     12.686562     12.611849
     12.645615     12.720328      12.79504     12.869753     12.869753      12.79504     12.720328     12.645615
      12.67915     12.753863     12.828576     12.903288     12.903288     12.828576     12.753863      12.67915
     12.712457     12.787169     12.861882     12.936595     12.936595     12.861882     12.787169     12.712457
     12.745536     12.820249     12.894961     12.969674     12.969674     12.894961     12.820249     12.745536
     12.778389     12.853102     12.927815     13.002527     13.002527     12.927815     12.853102     12.778389
     12.811019     12.885731     12.960444     13.035157     13.035157     12.960444     12.885731     12.811019
     12.843425     12.918138     12.992851     13.067563     13.067563     12.992851     12.918138     12.843425
     12.875611     12.950324     13.025036     13.099749     13.099749     13.025036     12.950324     12.875611
     12.907577      12.98229     13.057002     13.131715     13.131715     13.057002      12.98229     12.907577
     12.939325     13.014037      13.08875     13.163463     13.163463      13.08875     13.014037     12.939325
     12.970856     13.045569     13.120281     13.194994     13.194994     13.120281     13.045569     12.970856
     13.002172     13.076885     13.151597      13.22631      13.22631     13.151597     13.076885     13.002172
     13.033274     13.107987       13.1827     13.257412     13.257412       13.1827     13.107987     13.033274
     13.064165     13.138877      13.21359     13.288302     13.288302      13.21359     13.138877     13.064165
     13.094844     13.169557     13.244269     13.318982     13.318982     13.244269     13.169557     13.094844
     13.125314     13.200027     13.274739     13.349452     13.349452     13.274739     13.200027     13.125314
     13.155576     13.230289     13.305001     13.379714     13.379714     13.305001     13.230289     13.155576
     13.185632     13.260344     13.335057      13.40977      13.40977     13.335057     13.260344     13.185632
     13.215482     13.290195     13.364908      13.43962      13.43962     13.364908     13.290195     13.215482
     13.245129     13.319842     13.394555     13.469267     13.469267     13.394555     13.319842     13.245129
     13.274574     13.349287     13.423999     13.498712     13.498712     13.423999     13.349287     13.274574
     13.303818      13.37853     13.453243     13.527956     13.527956     13.453243      13.37853     13.303818
     13.332862     13.407574     13.482287        13.557        13.557     13.482287     13.407574     13.332862
     13.361708      13.43642     13.511133     13.585846     13.585846     13.511133      13.43642     13.361708
     13.390357      13.46507     13.539782     13.614495     13.614495     13.539782      13.46507     13.390357
     13.418811     13.493523     13.568236     13.642949     13.642949     13.568236     13.493523     13.418811
      13.44707     13.521783     13.596496     13.671208     13.671208     13.596496     13.521783      13.44707
     13.475137      13.54985     13.624562     13.699275     13.699275     13.624562      13.54985     13.475137
     13.503012     13.577725     13.652437      13.72715      13.72715     13.652437     13.577725     13.503012
     13.530697      13.60541     13.680122     13.754835     13.754835     13.680122      13.60541     13.530697
     13.558193     13.632906     13.707619     13.782331     13.782331     13.707619     13.632906     13.558193
     13.585502     13.660214     13.734927      13.80964      13.80964     13.734927     13.660214     13.585502
